fid,source_file,park,lat,lon,activity,date,time
"2",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.855826,151.213823,0.79,,
"3",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.85294,151.203664,0.66,,
"4",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.846764,151.237279,0.89,,
"6",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.854526,151.218165,0.99,,
"8",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.850411,151.231122,0.59,,
"10",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.856322,151.231756,0.5,,
"11",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.859092,151.211127,1.33,,
"14",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.862943,151.199541,0.79,,
"15",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.854019,151.220143,0.97,,
"16",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.857035,151.236627,0.47,,
"17",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.849547,151.23306,0.95,,
"18",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.849393,151.234823,0.81,,
"20",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.854743,151.214854,1.02,,
"22",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.850046,151.22937,0.9,,
"24",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.846985,151.238728,0.99,,
"25",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.854006,151.2242,0.49,,
"26",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.852076,151.223929,0.9,,
"28",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.851744,151.227477,0.76,,
"29",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.851229,151.230579,0.82,,
"31",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.852641,151.22427,0.53,,
"33",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.852327,151.223494,0.9,,
"34",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.85465,151.219002,0.53,,
"38",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.850066,151.229233,0.9,,
"39",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.854799,151.214379,0.63,,
"41",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.85321,151.229105,0.52,,
"42",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.859363,151.24782,0.45,,
"43",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.856205,151.22799,0.48,,
"45",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.856755,151.212162,1.09,,
"48",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.850707,151.227125,0.92,,
"53",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.854619,151.211023,0.83,,
"54",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.852049,151.225727,0.83,,
"55",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.848825,151.235586,0.98,,
"56",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.85376,151.216037,0.89,,
"57",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.857856,151.212691,0.75,,
"59",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.858164,151.212229,0.74,,
"60",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.858204,151.210941,1.26,,
"61",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.850716,151.232661,0.77,,
"64",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.848207,151.233933,0.71,,
"68",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.851663,151.228102,0.75,,
"69",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.851336,151.230089,0.82,,
"73",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.852733,151.207553,0.71,,
"74",Track 02 Aug 2025 14-54-26 (1).rctrk,Track 02 Aug 2025 14-54-26 (1),-33.855039,151.211827,0.99,,
